year month day AAPL GOOGL MSFT PG XOM
2006  03  02 9.5 188.41 22.42 46.8 50.38
2006  03  03 9.25 189.28 22.38 46.89 50.49
2006  03  06 8.94 184.23 22.37 46.89 49.66
2006  03  07 9.05 182.41 22.49 47.39 49.55
2006  03  08 8.97 177.12 22.65 47.99 49.44
2006  03  09 8.73 171.67 22.44 48.25 48.78
2006  03  10 8.63 168.92 22.58 48.92 49.0
2006  03  13 8.97 168.7 22.53 48.71 49.38
2006  03  14 9.19 175.76 22.63 47.16 50.35
2006  03  15 9.04 172.42 22.74 47.08 50.52
2006  03  16 8.78 169.55 22.66 46.67 51.04
2006  03  17 8.83 170.07 22.86 46.45 50.55
2006  03  20 8.74 174.27 23.18 46.51 50.22
2006  03  21 8.44 170.13 23.06 46.39 50.27
2006  03  22 8.42 170.28 22.57 46.75 50.55
2006  03  23 8.21 171.12 22.32 46.09 50.71
2006  03  24 8.19 183.08 22.45 46.16 50.65
2006  03  27 8.13 185.03 22.45 45.81 50.75
2006  03  28 8.02 188.79 22.36 45.21 50.47
2006  03  29 8.51 197.69 22.46 45.38 50.74
2006  03  30 8.57 194.41 22.63 45.29 50.61
2006  03  31 8.56 195.2 22.61 45.29 50.39
2006  04  03 8.55 195.05 22.91 45.49 50.53
2006  04  04 8.35 202.37 22.97 45.58 51.13
2006  04  05 9.18 204.2 23.06 45.28 51.47
2006  04  06 9.73 205.8 22.91 45.19 51.41
2006  04  07 9.53 203.28 22.65 45.02 50.78
2006  04  10 9.38 208.4 22.68 44.91 51.28
2006  04  11 9.28 205.04 22.55 44.4 51.33
2006  04  12 9.11 204.68 22.61 44.34 50.89
2006  04  13 9.08 201.28 22.5 44.48 50.97
2006  04  17 8.85 203.61 22.31 44.03 51.38
2006  04  18 9.04 202.32 22.62 44.14 52.61
2006  04  19 8.96 205.46 22.47 44.31 53.24
2006  04  20 9.23 207.71 22.47 44.46 52.92
2006  04  21 9.15 218.77 22.57 44.52 53.82
2006  04  24 8.98 220.47 22.53 44.73 53.33
2006  04  25 9.04 213.79 22.53 45.26 52.95
2006  04  26 9.31 213.2 22.52 45.84 52.25
2006  04  27 9.47 210.23 22.65 46.14 51.68
2006  04  28 9.61 209.18 20.07 46.0 52.23
2006  05  01 9.5 199.65 20.19 45.74 52.51
2006  05  02 9.78 197.6 19.96 45.92 53.55
2006  05  03 9.71 197.28 19.26 44.43 52.8
2006  05  04 9.71 197.57 19.48 44.14 52.42
2006  05  05 9.82 197.35 19.78 44.04 52.99
2006  05  08 9.82 197.59 19.72 44.52 52.75
2006  05  09 9.7 204.6 19.63 44.65 52.94
2006  05  10 9.64 201.69 19.76 44.52 53.16
2006  05  11 9.31 193.69 19.3 43.98 52.81
2006  05  12 9.24 187.25 19.26 43.47 51.79
2006  05  15 9.26 188.29 19.32 43.91 51.59
2006  05  16 8.87 185.84 19.2 44.29 51.56
2006  05  17 8.91 187.44 18.97 43.72 50.08
2006  05  18 8.63 185.68 19.05 43.38 49.84
2006  05  19 8.81 185.2 18.82 42.79 50.3
2006  05  22 8.65 185.66 19.09 42.9 50.58
2006  05  23 8.62 187.98 19.02 43.06 50.25
2006  05  24 8.65 190.82 19.61 43.32 50.01
2006  05  25 8.78 191.69 19.81 43.67 51.19
2006  05  26 8.68 190.87 19.79 43.57 51.24
